City_Rank,City_Native_Name,City_English_Name,Country,Population,Growth_Rate_pct,Area_km2,Status,Remark,Data_Source,Reference_Date
613,An-Najaf,Najaf,Iraq,1070000,2.1,,Adm-Urb,,citypopulation.de,2026-01-01
613,Guìgăng,Guìgăng,China,1070000,3,,Adm-Urb,,citypopulation.de,2026-01-01
613,Kozhikode,Calicut,India,1070000,.8,,Aggl,,citypopulation.de,2026-01-01
613,Leipzig,Leipzig,Germany,1070000,.5,388.12,CUA,incl. Halle,citypopulation.de,2026-01-01
613,Mersin,Mersin,Turkey,1070000,1.3,,Aggl,,citypopulation.de,2026-01-01
613,Morelia,Morelia,Mexico,1070000,1.8,412.92,CUA,,citypopulation.de,2026-01-01
613,Perm',Perm,Russia,1070000,-.2,,Aggl,,citypopulation.de,2026-01-01
613,Ulsan,Ulsan,Korea (South),1070000,-.55,651.91,CUA,,citypopulation.de,2026-01-01
613,Valparaíso,Valparaíso,Chile,1070000,.9,,CUA,,citypopulation.de,2026-01-01
613,Volgograd,Volgograd,Russia,1070000,-.45,,Aggl,,citypopulation.de,2026-01-01
624,Cāngzhōu,Cāngzhōu,China,1060000,3.5,,Adm-Urb,,citypopulation.de,2026-01-01
624,Liúyáng,Liuyang,China,1060000,3.6,,Adm-Urb,,citypopulation.de,2026-01-01
624,Padova,Padua,Italy,1060000,.1,496.43,CUA,incl. Mestre,citypopulation.de,2026-01-01
627,Goma,Goma,Congo (Dem. Rep.),1050000,3.5,,City,(population of low reliability),citypopulation.de,2026-01-01
627,Greenville,Greenville,United States of America,1050000,1.7,2270.56,CUA,,citypopulation.de,2026-01-01
627,Khamīs Mushaīṭ,Khamis Mushait,Saudi Arabia,1050000,2.3,,Aggl,,citypopulation.de,2026-01-01
627,Londrina,Londrina,Brazil,1050000,1.05,414.22,CUA,,citypopulation.de,2026-01-01
627,Pánjĭn,Panjin,China,1050000,1.3,,Adm-Urb,,citypopulation.de,2026-01-01
627,Teresina,Teresina,Brazil,1050000,.85,391.85,CUA,,citypopulation.de,2026-01-01
633,El Paso,El Paso,United States of America,1040000,.3,1033.81,CUA,incl. Las Cruces,citypopulation.de,2026-01-01
633,Enugu,Enugu,Nigeria,1040000,2.4,,,(population of low reliability),citypopulation.de,2026-01-01
633,Liùpánshuĭ,Liupanshui,China,1040000,4,,Adm-Urb,,citypopulation.de,2026-01-01
633,Louisville,Louisville,United States of America,1040000,.55,1392.85,CUA,,citypopulation.de,2026-01-01
633,Puducherry,Puducherry,India,1040000,2.65,,Congl,,citypopulation.de,2026-01-01
633,Tucson,Tucson,United States of America,1040000,.8,1203.73,CUA,,citypopulation.de,2026-01-01
639,Línfén,Línfén,China,1030000,1.6,,Adm-Urb,,citypopulation.de,2026-01-01
639,Qíqíhā'ĕr,Qiqihar,China,1030000,0,,Adm-Urb,,citypopulation.de,2026-01-01
639,Sùzhōu,Suzhou,China,1030000,2.2,,Adm-Urb,,citypopulation.de,2026-01-01
639,Téngzhōu,Tengzhou,China,1030000,1.8,,Adm-Urb,,citypopulation.de,2026-01-01
643,Culiacán,Culiacán,Mexico,1020000,1.6,406.57,CUA,,citypopulation.de,2026-01-01
644,Bristol,Bristol,Great Britain,1010000,1.1,452.57,CUA,,citypopulation.de,2026-01-01
644,Nice,Nice,France,1010000,.6,749.02,Congl,,citypopulation.de,2026-01-01
646,Aachen,Aix-la-Chapelle,Germany,1000000,.3,335.16,CUA,incl. Heerlen (Netherlands),citypopulation.de,2026-01-01
646,Bahāwalpur,Bahāwalpur,Pakistan,1000000,2.9,,UA,,citypopulation.de,2026-01-01
646,Changwon,Changwon,Korea (South),1000000,-.6,468.56,CUA,,citypopulation.de,2026-01-01
646,Cuiabá,Cuiabá,Brazil,1000000,1.6,446.16,CUA,,citypopulation.de,2026-01-01
646,Fresno,Fresno,United States of America,1000000,.5,702.8,CUA,,citypopulation.de,2026-01-01
646,Yíxīng,Yixing,China,1000000,2.3,,Adm-Urb,,citypopulation.de,2026-01-01
646,Zìgòng,Zigong,China,1000000,2.7,,Adm-Urb,,citypopulation.de,2026-01-01
